year;month;compartiment;method;monthlyMean
1991;1;1;calculated;7.943522404205057
1991;1;4;calculated;7.720738305035758
1991;1;5;calculated;10.113234654849093
1991;1;7;calculated;1.811191355834131
1991;1;9;calculated;3.238980187764698
1991;1;NA;calculated;4.400664303746877
1991;2;1;calculated;24.38550302871184
1991;2;4;calculated;27.71449422403897
1991;2;5;calculated;16.39609563624935
1991;2;7;calculated;2.3076592099822193
1991;2;9;calculated;3.715478603980402
1991;2;NA;calculated;11.491380592860311
1991;3;1;calculated;86.31842512187228
1991;3;4;calculated;14.621751883613928
1991;3;5;calculated;21.65992489606364
1991;3;7;calculated;14.69643305318476
1991;3;9;calculated;53.84038166883669
1991;3;NA;calculated;548.2831098847445
1991;4;1;calculated;645.2384112284332
1991;4;4;calculated;379.04983868830857
1991;4;5;calculated;332.7338695292044
1991;4;7;calculated;142.93413540292244
1991;4;9;calculated;67.24670404636693
1991;4;NA;calculated;300.3498144919994
1991;5;1;calculated;4501.9937734629
1991;5;4;calculated;2916.2255790326367
1991;5;5;calculated;1932.7888272168532
1991;5;7;calculated;341.66743957553274
1991;5;9;calculated;317.39351087516684
1991;5;NA;calculated;2178.7376399841482
1991;6;1;calculated;1634.8311119538116
1991;6;4;calculated;2236.721914212774
1991;6;5;calculated;2271.5878274594925
1991;6;7;calculated;1718.9191250267581
1991;6;9;calculated;1003.3404022407346
1991;6;NA;calculated;2827.210441483554
1991;7;1;calculated;743.8766833380024
1991;7;4;calculated;497.9867565760338
1991;7;5;calculated;1273.5236106653097
1991;7;7;calculated;1420.2417575650106
1991;7;9;calculated;1256.0946535174135
1991;7;NA;calculated;5485.117143296034
1991;8;1;calculated;5342.291535683
1991;8;4;calculated;2612.3808774433555
1991;8;5;calculated;2680.3983028987377
1991;8;7;calculated;1426.479236300297
1991;8;9;calculated;845.4028440622136
1991;8;NA;calculated;8466.902055793298
1991;9;1;calculated;582.9777626920386
1991;9;4;calculated;583.133447355515
1991;9;5;calculated;608.6081239148574
1991;9;7;calculated;349.1035423356545
1991;9;9;calculated;287.98944959096133
1991;9;NA;calculated;2736.999012239219
1991;10;1;calculated;250.3267322917197
1991;10;4;calculated;192.31510660530049
1991;10;5;calculated;160.96610462243316
1991;10;7;calculated;192.47880657382376
1991;10;9;calculated;198.31388982168352
1991;10;NA;calculated;1123.0850406317732
1991;11;1;calculated;43.179473496394856
1991;11;4;calculated;42.84851956957982
1991;11;5;calculated;15.696649667235617
1991;11;7;calculated;5.86516907449435
1991;11;9;calculated;10.087001380479943
1991;11;NA;calculated;19.892977755041205
1991;12;1;calculated;36.84652966467733
1991;12;4;calculated;28.62308160008732
1991;12;5;calculated;13.998765471661859
1991;12;7;calculated;2.956696688164313
1991;12;9;calculated;3.798594462307548
1991;12;NA;calculated;3.3915307404898583
1995;4;5;calculated;80.13955036880148
1995;4;9;calculated;51.49617156460572
1995;5;5;calculated;1486.3915853042772
1995;5;9;calculated;202.83520461299483
1995;6;5;calculated;5847.5485025091475
1995;6;9;calculated;2965.406889840086
1995;7;5;calculated;1655.5390702295176
1995;7;9;calculated;1064.3383878028212
1995;9;5;calculated;573.9328819083039
1995;9;9;calculated;432.41905893545015
1995;10;5;calculated;121.92517362496
1995;10;9;calculated;130.67276403834555
1995;11;5;calculated;27.334236910687235
1995;11;9;calculated;45.473441961941326
1997;4;3;calculated;3085.2845280989964
1997;4;4;calculated;1319.7781671679156
