X_RD;Y_RD;datetime;compartiment;parameter;value;gebied;source;license;method;date_added;script;unit
30459;382089;2016-05-03T11:22:00Z;1;chlfa;26.39;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
30459;382089;2016-05-03T11:22:00Z;1;turbidity;23.53368421;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
30459;382089;2016-05-03T11:22:00Z;1;O2;10.2;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
30459;382089;2016-05-03T11:22:00Z;1;perc_O2;108.1578947;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
30459;382089;2016-05-03T11:22:00Z;1;salinity;28.75578947;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
34898;382053;2016-05-03T11:37:00Z;1;chlfa;30.77;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
34898;382053;2016-05-03T11:37:00Z;1;turbidity;21.11263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
34898;382053;2016-05-03T11:37:00Z;1;O2;10.22105263;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
34898;382053;2016-05-03T11:37:00Z;1;perc_O2;108.5263158;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
34898;382053;2016-05-03T11:37:00Z;1;salinity;28.68631579;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
37967;379296;2016-05-03T11:53:00Z;3;chlfa;29.87;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
37967;379296;2016-05-03T11:53:00Z;3;turbidity;15.97368421;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
37967;379296;2016-05-03T11:53:00Z;3;O2;10.42631579;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;mg/l
37967;379296;2016-05-03T11:53:00Z;3;perc_O2;109.6315789;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;%
37967;379296;2016-05-03T11:53:00Z;3;salinity;26.95631579;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;PSU
40609;376221;2016-05-03T12:08:00Z;3;chlfa;22.35;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;ug/l
40609;376221;2016-05-03T12:08:00Z;3;turbidity;8.576842105;Westerschelde;NIOZ_Dick;can be used;Meetvis;2025-12-16;load_niozDick_environmentals.Rmd;NTU
