gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;1;2016-05-03T11:07:44Z;28297;381933;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;67.3415;mg C/m2/d
Westerschelde;1;2016-05-03T11:22:50Z;30762;382093;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;958.3698;mg C/m2/d
Westerschelde;1;2016-05-03T11:37:56Z;35177;381962;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1378.973;mg C/m2/d
Westerschelde;3;2016-05-03T11:53:03Z;38043;379201;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1677.233;mg C/m2/d
Westerschelde;3;2016-05-03T12:08:08Z;40715;376122;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;2421.838;mg C/m2/d
Westerschelde;3;2016-05-03T12:23:16Z;44453;374518;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1713.209;mg C/m2/d
Westerschelde;3;2016-05-03T12:38:22Z;47947;373648;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1210.389;mg C/m2/d
Westerschelde;3;2016-05-03T12:53:28Z;51325;375266;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1226.583;mg C/m2/d
Westerschelde;4;2016-05-03T13:08:34Z;54548;377664;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1451.911;mg C/m2/d
Westerschelde;4;2016-05-03T13:23:41Z;55948;380906;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1300.309;mg C/m2/d
Westerschelde;4;2016-05-03T13:38:47Z;57765;383606;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;1420.334;mg C/m2/d
Westerschelde;5;2016-05-03T16:28:53Z;60885;382386;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;109.7862;mg C/m2/d
Westerschelde;5;2016-05-03T16:43:59Z;62958;379991;NIOZ_Dick;can not be published without NIOZ permission;FRRF;2025-12-01;load_niozDick_integrated_pp.Rmd;PP_depth_integrated;9.394067;mg C/m2/d
