# produced with script 'samenstellingPP.R'
# pelagic primary production in gC/m2/d from 14C and FRRF
# stationname = stationname sampled (14C)  or related to compartment (FRRF)
# year = year
# month = month
# monthlyMean = monthly mean gross production in gC/m2/d
# date = constructed date 
# compartment = compartment number related to primary production compartments in Western Scheldt
# source = original data source
# method = method to measure gross primary production
# valuesign = qualifier: '>' means value invalid
stationname;year;month;monthlyMean;na.rm;date;compartment;source;method;valuesign
Vlissingen;2010;1;0.00576666666666666;TRUE;2010-01-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;2;0.02103571428571428;TRUE;2010-02-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;3;0.1946774193548387;TRUE;2010-03-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;4;0.7688666666666667;TRUE;2010-04-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;5;0.9564193548387095;TRUE;2010-05-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;6;1.5977666666666668;TRUE;2010-06-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;7;2.472193548387097;TRUE;2010-07-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;8;1.2570645161290324;TRUE;2010-08-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;9;0.26093333333333335;TRUE;2010-09-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;10;0.24406451612903227;TRUE;2010-10-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;11;0.03583333333333333;TRUE;2010-11-15;1;Scheldemonitor;14C;NA
Vlissingen;2010;12;0.01509677419354838;TRUE;2010-12-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;1;0.01306451612903225;TRUE;2011-01-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;2;0.0205;TRUE;2011-02-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;3;0.1040967741935484;TRUE;2011-03-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;4;0.6780666666666667;TRUE;2011-04-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;5;0.5547741935483871;TRUE;2011-05-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;6;0.4121;TRUE;2011-06-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;7;1.0441290322580643;TRUE;2011-07-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;8;0.10170967741935484;TRUE;2011-08-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;9;0.10223333333333331;TRUE;2011-09-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;10;0.05619354838709677;TRUE;2011-10-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;11;0.02596666666666666;TRUE;2011-11-15;1;Scheldemonitor;14C;NA
Vlissingen;2011;12;0.00790322580645161;TRUE;2011-12-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;1;0.01116129032258064;TRUE;2012-01-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;2;0.01820689655172414;TRUE;2012-02-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;3;0.11248387096774194;TRUE;2012-03-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;4;0.3746;TRUE;2012-04-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;5;0.4454193548387097;TRUE;2012-05-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;6;0.3213666666666667;TRUE;2012-06-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;7;0.2134193548387097;TRUE;2012-07-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;8;0.25393548387096776;TRUE;2012-08-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;9;0.3490666666666667;TRUE;2012-09-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;10;0.07722580645161291;TRUE;2012-10-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;11;0.02003333333333333;TRUE;2012-11-15;1;Scheldemonitor;14C;NA
Vlissingen;2012;12;0.00906451612903225;TRUE;2012-12-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;1;0.00816129032258064;TRUE;2013-01-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;2;0.01903571428571428;TRUE;2013-02-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;3;0.0664516129032258;TRUE;2013-03-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;4;0.3733;TRUE;2013-04-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;5;0.41516129032258065;TRUE;2013-05-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;6;0.2812;TRUE;2013-06-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;7;1.939032258064516;TRUE;2013-07-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;8;1.604322580645161;TRUE;2013-08-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;9;0.5729666666666666;TRUE;2013-09-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;10;0.06403225806451612;TRUE;2013-10-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;11;0.04526666666666666;TRUE;2013-11-15;1;Scheldemonitor;14C;NA
Vlissingen;2013;12;0.04833333333333333;TRUE;2013-12-15;1;Scheldemonitor;14C;NA
Terneuzen;2010;1;0.00996666666666666;TRUE;2010-01-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;2;0.02342857142857143;TRUE;2010-02-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;3;0.12341935483870968;TRUE;2010-03-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;4;1.4236;TRUE;2010-04-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;5;1.1005483870967745;TRUE;2010-05-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;6;0.8919333333333334;TRUE;2010-06-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;7;0.6228064516129033;TRUE;2010-07-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;8;0.4278709677419355;TRUE;2010-08-15;3;Scheldemonitor;14C;NA
Terneuzen;2010;9;0.12006666666666668;TRUE;2010-09-15;3;Scheldemonitor;14C;NA
