gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;11.66;NTU
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;3;ug/l
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;17.78;PSU
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.2;/m
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;12.35;NTU
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;2.6;ug/l
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;15.28;PSU
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.3;/m
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;17.23;NTU
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;2.6;ug/l
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;14.35;PSU
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.9;/m
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;9.9;NTU
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;2.5;ug/l
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;13.49;PSU
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2;/m
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;16.78;NTU
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;2.8;ug/l
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;12.81;PSU
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.8;/m
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;16.28;NTU
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;2.6;ug/l
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;9.32;PSU
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.7;/m
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;7.15;NTU
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;8.7;ug/l
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.33;PSU
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.7;/m
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;7.15;NTU
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;12.9;ug/l
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.33;PSU
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.7;/m
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;7.15;NTU
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;14.2;ug/l
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.33;PSU
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.7;/m
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;20.04;NTU
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;12.2;ug/l
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;29.11;PSU
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;3.2;/m
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;9.92;NTU
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;22.9;ug/l
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;27.22;PSU
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2;/m
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;6.13;NTU
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;17.5;ug/l
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;24.27;PSU
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;1.5;/m
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;13.55;NTU
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;15;ug/l
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;23.62;PSU
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.4;/m
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;10.9;NTU
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;chlfa;13.1;ug/l
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;salinity;22.8;PSU
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;Kd;2.1;/m
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;Rijkswaterstaat;CC0;Scanfish;2025-12-01;load_rws_environmentals.Rmd;turbidity;8.86;NTU
