gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;8.69;mgC (mg chla)-1 h-1
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.03;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;787;µmol fotonen m-2 s-1
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;8.05;mgC (mg chla)-1 h-1
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.02;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;742;µmol fotonen m-2 s-1
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;8.64;mgC (mg chla)-1 h-1
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.02;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;857;µmol fotonen m-2 s-1
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;13.16;mgC (mg chla)-1 h-1
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.02;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;1999;µmol fotonen m-2 s-1
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;13.2;mgC (mg chla)-1 h-1
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.02;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;1720;µmol fotonen m-2 s-1
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;11.79;mgC (mg chla)-1 h-1
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.02;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;1999;µmol fotonen m-2 s-1
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;13.25;mgC (mg chla)-1 h-1
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.04;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;1999;µmol fotonen m-2 s-1
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;13.78;mgC (mg chla)-1 h-1
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.04;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;1653;µmol fotonen m-2 s-1
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;12.48;mgC (mg chla)-1 h-1
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.04;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;1180;µmol fotonen m-2 s-1
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;11.18;mgC (mg chla)-1 h-1
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.04;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;Eopt_EP;887;µmol fotonen m-2 s-1
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;PBmax_EP;11.21;mgC (mg chla)-1 h-1
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_fitparameters_pp.Rmd;alfaB_EP;0.04;mgC (mg chla)-1 h-1)/(µmol fotonen m-2 s-1)
