gebied;compartiment;datetime;X_RD;Y_RD;source;license;method;date_added;script;parameter;value;unit
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;159.34;mg C/m2/d
Westerschelde;5;2020-04-14T10:06:35Z;60583;60583;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;120;mg C/m2/d
Westerschelde;5;2020-04-14T10:24:45Z;62450;62450;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;88.54;mg C/m2/d
Westerschelde;5;2020-04-14T10:46:07Z;64916;64916;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;142.64;mg C/m2/d
Westerschelde;5;2020-04-14T11:05:51Z;67613;67613;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;114.1;mg C/m2/d
Westerschelde;6;2020-04-14T11:22:24Z;70478;70478;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;92.44;mg C/m2/d
Westerschelde;7a;2020-04-14T11:40:40Z;73091;73091;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1106.34;mg C/m2/d
Westerschelde;1;2020-04-16T08:09:50Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1759.53;mg C/m2/d
Westerschelde;1;2020-04-16T08:28:33Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1880.37;mg C/m2/d
Westerschelde;1;2020-04-16T08:47:16Z;28276;28276;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;873.33;mg C/m2/d
Westerschelde;1;2020-04-16T09:06:00Z;33545;33545;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;2460.17;mg C/m2/d
Westerschelde;3;2020-04-16T09:26:27Z;37777;37777;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;2512.53;mg C/m2/d
Westerschelde;3;2020-04-16T09:45:59Z;41375;41375;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1437.67;mg C/m2/d
Westerschelde;3;2020-04-16T10:04:42Z;45891;45891;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1444.19;mg C/m2/d
Westerschelde;3;2020-04-16T10:23:25Z;50358;50358;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1512.28;mg C/m2/d
Westerschelde;4;2020-04-16T10:43:01Z;54424;54424;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
Westerschelde;4;2020-04-16T11:01:44Z;56284;56284;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;PP_depth_integrated;1338.45;mg C/m2/d
Westerschelde;4;2020-04-16T11:01:44Z;56284;56284;RWS;CC0;FRRF/scanfish;2025-08-14;load_rws_integrated_pp.Rmd;conversionEtoC;5;molC/(mol fotonen)
