File path:,
File note:,
File date:,04/07/18
File time:,06:46:21
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0703-004
Act2 LED:,White
FRRf3 SN:,14-9616-004
450 nm:,0.88
530 nm:
624 nm:
,A,B,C,D
Alpha:,0.301,,,
Ek:,476.6,,,
Pm:,96.15,,,
Em:,828.1,,,
AlphaW:,2.000,,,
SErP:,0.049,,,
,LED combination A (450 nm alone),,,,,,,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:05,5,24.51,53,0.000000,0.000000,0.000000,4.085,5.424,0.247,0.000,0.309,0.0455,5.180,0.663,1949,0.135,4.026,,89.99,4.106,5.358,0.0104,0.009220,0.0139,1.130,,14,0.0363,4.106,36,0.001619,5.326
,2,21,01:33,93,25.60,65,5.597,64.33,0.0944,4.267,5.817,0.267,,0.269,0.0447,5.087,0.657,1731,0.058,3.753,,95.15,4.291,5.735,0.0106,0.0109,0.0152,0.978,,12,0.0425,4.291,36,0.001612,5.703
,3,49,03:05,185,25.98,66,13.48,148.5,0.227,4.330,5.972,0.275,,0.248,0.0443,5.033,0.660,1680,0.031,3.656,,108.4,4.350,5.876,0.006807,0.0123,0.0141,0.553,,12,0.0459,4.350,36,0.001851,5.840
,4,87,04:33,273,26.38,69,23.85,266.7,0.402,4.397,6.058,0.274,,0.243,0.0448,5.091,0.651,1603,0.016,3.604,,123.3,4.440,5.970,0.008392,0.009144,0.0124,0.918,,14,0.0451,4.440,36,0.001631,5.938
,5,138,06:05,365,26.93,72,36.68,429.3,0.619,4.488,6.112,0.266,,0.269,0.0454,5.166,0.622,1603,0.007,3.572,,97.03,4.511,6.025,0.009884,0.0121,0.0156,0.818,,12,0.0457,4.511,36,0.001629,5.994
,6,207,07:33,453,27.35,73,52.96,639.9,0.893,4.559,6.126,0.256,,0.327,0.0451,5.134,0.563,1731,0.005,3.564,,100.4,4.570,6.046,0.009223,0.0115,0.0147,0.805,,12,0.0438,4.570,36,0.002158,6.005
,7,300,09:05,545,28.37,78,69.54,920.9,1.173,4.729,6.156,0.232,,0.298,0.0448,5.097,0.575,1603,0.000,3.547,,89.03,4.725,6.073,0.008371,0.0126,0.0151,0.663,,12,0.0430,4.725,36,0.002008,6.035
,8,426,10:37,637,28.97,77,84.81,1296,1.431,4.828,6.028,0.199,0.080,0.256,0.0444,5.050,0.591,1437,0.021,3.622,,62.30,4.826,5.963,0.0146,0.0110,0.0183,1.331,,12,0.0354,4.826,36,0.001583,5.932
,9,595,12:05,725,28.89,77,101.0,1819,1.704,4.815,5.800,0.170,0.191,0.215,0.0446,5.075,0.666,1411,0.061,3.765,,53.51,4.829,5.739,0.0124,0.0116,0.0170,1.066,,12,0.0298,4.829,36,0.001184,5.715
,10,823,13:37,817,28.00,75,99.88,2537,1.685,4.667,5.311,0.121,0.380,0.181,0.0450,5.118,0.676,1091,0.159,4.111,,38.23,4.667,5.284,0.0101,0.0125,0.0161,0.809,,12,0.0205,4.667,36,0.001157,5.261
,11,1130,15:05,905,26.39,77,97.77,3131,1.649,4.398,4.814,0.087,0.521,0.133,0.0405,4.601,0.818,963.2,0.279,4.536,,19.25,4.402,4.797,0.0171,0.0113,0.0205,1.519,,12,0.0122,4.402,36,0.000763,4.781
,12,1544,16:37,997,24.49,77,83.85,4131,1.415,4.082,4.316,0.054,0.671,0.067,0.0391,4.443,0.284,400.0,0.426,5.059,,10.01,4.085,4.306,0.0155,0.0158,0.0221,0.980,,18,0.006255,4.085,36,0.000776,4.291
,13,,18:05,1085,21.92,53,-0.200,,,3.653,4.568,0.200,,0.286,0.0353,4.015,0.819,2077,0.348,4.780,,18.44,3.622,4.505,0.0322,0.0355,0.0479,0.907,,12,0.0287,3.622,36,-0.001334,4.532
