# calculated from NIOZ data
# pelagic primary production in gC/m2/d from FRRF
# locations related to areas
# year - year
# month - month
# monthlymean - monthly mean gross production in gC/m2/d
# date - constructed date
compartment;year;month;monthlyMean;date
1;2016;5;0.8015614333333334;2016-05-15
1;2016;6;0.07345817;2016-06-15
1;2016;7;0.07532507;2016-07-15
1;2016;8;0.21854521666666665;2016-08-15
1;2016;9;0.2542939;2016-09-15
1;2016;11;0.008408365999999999;2016-11-15
1;2017;1;0.2198932;2017-01-15
1;2017;2;0.28199630000000003;2017-02-15
1;2017;4;23.04208;2017-04-15
1;2017;5;8.643223;2017-05-15
1;2017;6;14.009375;2017-06-15
1;2017;7;12.973644666666667;2017-07-15
1;2017;8;17.275509999999997;2017-08-15
1;2017;12;0.02400581;2017-12-15
1;2018;1;0.385319;2018-01-15
1;2018;2;0.1442251;2018-02-15
1;2018;3;0.1454324;2018-03-15
1;2018;9;4.05242012;2018-09-15
1;2018;10;40.76857;2018-10-15
1;2019;6;8.982997600000001;2019-06-15
1;2019;7;2.0447005;2019-07-15
3;2016;5;1.6498504;2016-05-15
3;2016;6;0.10508424375;2016-06-15
3;2016;7;0.239968075;2016-07-15
3;2016;8;0.4269502;2016-08-15
3;2016;9;0.5308598625;2016-09-15
3;2016;10;0.203800826;2016-10-15
3;2016;11;0.009944927499999999;2016-11-15
3;2017;1;0.163880472;2017-01-15
3;2017;2;0.4655879;2017-02-15
3;2017;4;33.23647;2017-04-15
3;2017;5;16.1772341;2017-05-15
3;2017;6;39.843806666666666;2017-06-15
3;2017;7;23.063827500000002;2017-07-15
3;2017;8;31.12080375;2017-08-15
3;2017;12;0.020105678000000002;2017-12-15
3;2018;1;0.225144075;2018-01-15
3;2018;2;0.30183092499999997;2018-02-15
3;2018;8;0.45745754;2018-08-15
3;2018;9;5.9218246;2018-09-15
3;2018;10;22.3418275;2018-10-15
3;2019;6;22.8800175;2019-06-15
3;2019;7;4.1693386;2019-07-15
4;2016;5;1.47651975;2016-05-15
4;2016;6;0.11004150666666666;2016-06-15
4;2016;7;0.272355;2016-07-15
4;2016;8;0.40272963333333334;2016-08-15
4;2016;9;0.17346661666666666;2016-09-15
4;2016;10;0.08406274999999999;2016-10-15
4;2016;11;0.005344833;2016-11-15
4;2017;1;0.14396965;2017-01-15
4;2017;4;33.53414333333333;2017-04-15
4;2017;5;7.11934275;2017-05-15
4;2017;6;21.13897;2017-06-15
4;2017;7;13.710722;2017-07-15
4;2017;8;18.889502;2017-08-15
4;2017;12;0.01346517;2017-12-15
4;2018;1;0.2211391;2018-01-15
4;2018;2;0.26356383333333333;2018-02-15
4;2018;8;0.5163971;2018-08-15
4;2018;9;1.673564;2018-09-15
4;2018;10;20.92822;2018-10-15
4;2019;6;14.843423333333334;2019-06-15
4;2019;7;4.876708333333333;2019-07-15
5;2016;5;0.10250452983333333;2016-05-15
5;2016;6;0.12117173833333333;2016-06-15
5;2016;7;0.26694405;2016-07-15
5;2016;8;0.35254168;2016-08-15
5;2016;9;0.17132632090909092;2016-09-15
5;2016;10;0.0526238925;2016-10-15
5;2016;11;0.007420446200000001;2016-11-15
5;2017;1;0.1832025;2017-01-15
5;2017;2;1.019190525;2017-02-15
5;2017;3;0.4274201666666666;2017-03-15
5;2017;4;5.4682544;2017-04-15
5;2017;5;7.654147692307692;2017-05-15
5;2017;6;23.491601666666668;2017-06-15
5;2017;7;31.890454999999996;2017-07-15
5;2017;8;12.882709625;2017-08-15
5;2017;11;0.046472085;2017-11-15
5;2017;12;0.0034776042;2017-12-15
5;2018;1;0.15457598;2018-01-15
5;2018;2;0.2371043142857143;2018-02-15
5;2018;8;0.3668612;2018-08-15
5;2018;9;1.5759782875;2018-09-15
5;2018;10;1.0172222666666666;2018-10-15
5;2019;6;8.976216966666668;2019-06-15
5;2019;7;4.562935;2019-07-15
6;2016;5;0.11484581350000002;2016-05-15
6;2016;6;0.08986853;2016-06-15
6;2016;7;0.2095709;2016-07-15
6;2016;8;0.43659790000000004;2016-08-15
6;2016;9;0.115879;2016-09-15
6;2016;10;0.03816099;2016-10-15
6;2016;11;0.01190497;2016-11-15
6;2017;1;0.1059716;2017-01-15
6;2017;2;0.40585180000000004;2017-02-15
6;2017;4;4.8182575;2017-04-15
6;2017;5;4.938596666666667;2017-05-15
6;2017;6;11.313902333333333;2017-06-15
6;2017;7;8.895813;2017-07-15
6;2017;8;8.271191;2017-08-15
6;2017;11;0.035746969999999996;2017-11-15
6;2017;12;0.0019357555000000001;2017-12-15
6;2018;1;0.07228042000000001;2018-01-15
6;2018;2;0.15408705666666667;2018-02-15
6;2018;8;0.1775335;2018-08-15
6;2018;9;0.9826370499999999;2018-09-15
6;2018;10;0.8779110000000001;2018-10-15
6;2019;6;1.0468648;2019-06-15
7;2016;5;0.12657230000000003;2016-05-15
7;2016;6;0.08440304533333334;2016-06-15
7;2016;7;0.39526500000000003;2016-07-15
7;2016;8;0.7155743999999999;2016-08-15
7;2016;9;0.0943803575;2016-09-15
7;2016;10;0.03024698;2016-10-15
7;2016;11;0.005989937;2016-11-15
7;2017;1;0.06880665999999999;2017-01-15
7;2017;2;0.2973789;2017-02-15
7;2017;3;0.3752015;2017-03-15
7;2017;4;3.8408290000000003;2017-04-15
7;2017;5;6.536358666666667;2017-05-15
7;2017;6;6.5827355;2017-06-15
7;2017;7;11.052370000000002;2017-07-15
7;2017;8;7.322411;2017-08-15
7;2017;11;0.04681075;2017-11-15
7;2017;12;0.001520328;2017-12-15
7;2018;1;0.16699785;2018-01-15
7;2018;2;0.12900515;2018-02-15
7;2018;8;0.2718938;2018-08-15
7;2018;9;1.0823714;2018-09-15
7;2018;10;0.7328728999999999;2018-10-15
7;2019;6;1.2227970000000001;2019-06-15
9;2016;5;0.061653075;2016-05-15
9;2016;6;0.0324678;2016-06-15
9;2016;8;0.6863044;2016-08-15
9;2016;9;0.08708531000000001;2016-09-15
9;2016;11;7.810394e-4;2016-11-15
9;2017;1;0.049646680000000006;2017-01-15
9;2017;2;0.1912412;2017-02-15
9;2017;5;5.6960485;2017-05-15
9;2017;6;9.096138000000002;2017-06-15
9;2017;11;0.05607745;2017-11-15
9;2017;12;8.522706e-4;2017-12-15
9;2018;1;0.03851461;2018-01-15
9;2018;2;0.10818923333333333;2018-02-15
9;2019;7;0.6187027;2019-07-15
