...1,date,campaign,box_RWS,flag,Chl,F_bc,Fm_bc,Fq_bc,FqFm_bc,a_LHII,JVPII_bc,alpha,eopt,ps,Fluo,Turb,SensH,Temp,pH,Oxy,Oxy_sat,Sal,datetime,X,Y
8,03/05/2016 11:22,6,1,A,26.39,3.898,8.33,4.432,0.532052821,0.086450815,0,0.18143987,593.1355912,30.54263109,5.002631579,23.53368421,-105.1578947,10.19263158,8.498421053,10.2,108.1578947,28.75578947,2016-05-03T11:22:00Z,30459,382089
9,03/05/2016 11:37,6,1,A,30.77,4.629,9.74,5.111,0.524743326,0.104093177,0,0.23019515,578.1772651,39.58391205,4.35,21.11263158,-105.3157895,10.20157895,8.508421053,10.22105263,108.5263158,28.68631579,2016-05-03T11:37:00Z,34898,382053
10,03/05/2016 11:53,6,3,A,29.87,4.478,9.65,5.172,0.535958549,0.09859046,0,0.213816758,1499.992131,43.16149747,2.929473684,15.97368421,-102.9473684,10.45578947,8.500526316,10.42631579,109.6315789,26.95631579,2016-05-03T11:53:00Z,37967,379296
11,03/05/2016 12:08,6,3,A,22.35,3.225,6.984,3.759,0.538230241,0.070703943,0,0.145767737,562.034673,29.72016941,2.450526316,8.576842105,-108.7368421,10.61315789,8.505789474,10.70526316,112.5789474,25.87105263,2016-05-03T12:08:00Z,40609,376221
12,03/05/2016 12:23,6,3,A,20.08,2.847,5.867,3.02,0.51474348,0.065264741,0,0.132998045,855.7885439,32.1170584,2.593157895,11.73,-107.8421053,10.64631579,8.471052632,10.57894737,109.6315789,23.61368421,2016-05-03T12:23:00Z,44345,374561
13,03/05/2016 12:38,6,3,A,17.94,2.489,5.428,2.939,0.541451732,0.054243432,0,0.131139216,771.0165679,23.44742078,3.0635,13.614,-99.5,10.5525,8.4455,10.415,107.4,23.419,2016-05-03T12:38:00Z,47819,373635
14,03/05/2016 12:53,6,3,A,20.49,2.914,6.407,3.493,0.545184954,0.063070706,0,0.129078241,753.0916592,30.04615535,3.2335,15.816,-100.4,10.567,8.4355,10.395,107,22.9145,2016-05-03T12:53:00Z,51211,375196
15,03/05/2016 13:08,6,4,A,19.87,2.811,6.107,3.296,0.539708531,0.061458728,0,0.130754248,838.9947172,31.06998337,2.871052632,13.50526316,-102.5789474,10.60368421,8.436315789,10.47894737,107.6842105,22.59368421,2016-05-03T13:08:00Z,54352,377479
16,03/05/2016 13:23,6,4,A,17.33,2.389,5.313,2.924,0.550348203,0.05122248,0,0.12797584,1086.018069,25.37869337,2.798421053,12.67157895,-106.5789474,10.66473684,8.426315789,10.5,107.7368421,21.61842105,2016-05-03T13:23:00Z,55866,380717
17,03/05/2016 13:38,6,4,A,17.08,2.346,5.313,2.967,0.558441558,0.049571526,0,0.098370622,783.3705352,23.95407797,2.2745,10.662,-109.3,10.833,8.416,10.62,107.75,19.6705,2016-05-03T13:38:00Z,57606,383503
20,03/05/2016 16:28,6,5,A,14.35,1.891,4.343,2.452,0.564586691,0.039522363,0,0.072083644,723.8004498,25.35973064,1.379473684,130.4026316,-107.0526316,11.25526316,8.346842105,10.34210526,102.9473684,15.54789474,2016-05-03T16:28:00Z,60770,382550
21,03/05/2016 16:43,6,5,A,10.55,1.259,2.841,1.582,0.556846181,0.026679181,0,0.060692203,926.3758193,16.37507101,1.222631579,1035.800526,-109.1052632,11.35947368,8.300526316,10.2,101,14.40631579,2016-05-03T16:43:00Z,62802,380129
22,03/05/2016 16:59,6,5,R,9.037,1.006,2.259,1.253,0.554670208,0.021401546,0,0.044301937,839.2669174,13.47214735,1.097894737,162.8852632,-103.3684211,11.24473684,8.274736842,10.03684211,98.47368421,13.24263158,2016-05-03T16:59:00Z,64936,377627
23,03/05/2016 17:14,6,5,A,8.174,0.862,1.949,1.087,0.557721909,0.018237763,0,0.038679521,990.0197663,10.90265655,0.731052632,319.3347368,-104.6842105,11.31368421,8.252631579,10.00368421,97.94736842,12.53210526,2016-05-03T17:14:00Z,67310,376348
24,03/05/2016 17:28,6,6,A,6.09,0.515,1.088,0.573,0.526654412,0.011538876,0,0.022663134,810.3727702,6.638214098,0.8,17.49263158,-102.4210526,11.47421053,8.224210526,9.907894737,96,11.07842105,2016-05-03T17:28:00Z,69994,377509
25,03/05/2016 17:42,6,6,R,5.762,0.46,1.027,0.567,0.552093476,0.009831668,0,0.017090704,758.1055431,5.623266663,0.836842105,30.86842105,-106.9473684,11.53947368,8.190526316,9.677894737,92.94736842,9.362105263,2016-05-03T17:42:00Z,72469,378381
26,03/05/2016 17:57,6,7,R,5.357,0.393,0.929,0.536,0.576964478,0.008037583,0,0.015973293,952.9401613,5.545494769,0.826842105,32.32263158,-109.1578947,11.59894737,8.143157895,9.469473684,90.10526316,8.161052632,2016-05-03T17:57:00Z,73670,375885
27,03/05/2016 18:09,6,9,A,5.126,0.354,0.794,0.44,0.554156171,0.007537947,0,0.014664618,831.9459219,4.910112987,0.817857143,33.3,-110.6428571,11.69571429,8.127142857,9.397142857,89.71428571,7.711428571,2016-05-03T18:09:00Z,75391,374070
48,31/05/2016 14:46,7,5,R,7.197,0.699,1.474,0.775,0.52578019,0.015687544,0,0.031296805,1499.997442,13.78787825,1.573684211,39.77157895,-100.9473684,16.20210526,8.22,9.384736842,106,16.83315789,2016-05-31T14:46:00Z,59808,383409
49,31/05/2016 15:02,7,5,A,6.952,0.659,1.646,0.987,0.59963548,0.012968212,0,0.027658181,822.7970477,8.992294965,1.838947368,16.99473684,-102.4736842,16.28,8.238421053,9.210526316,103.2631579,15.56263158,2016-05-31T15:02:00Z,61644,381244
50,31/05/2016 15:14,7,5,R,7.723,0.787,2.05,1.263,0.616097561,0.015073262,0,0.031746814,711.7266999,10.12703906,1.761578947,16.44105263,-101.3684211,16.33,8.248421053,9.211052632,103.4736842,15.31736842,2016-05-31T15:14:00Z,63310,379623
51,31/05/2016 15:22,7,5,R,7.635,0.773,1.994,1.221,0.612337011,0.014896046,0,0.032981521,1499.995895,14.0274777,1.768421053,19.65473684,-100.2631579,16.39842105,8.235263158,9.085789474,101.4210526,14.59210526,2016-05-31T15:22:00Z,64399,378602
52,31/05/2016 15:37,7,5,A,7.479,0.747,1.939,1.192,0.614749871,0.014338515,0,0.034175936,1099.192426,11.55762524,1.464736842,16.32578947,-102.7894737,16.58421053,8.200526316,8.817894737,98.05263158,12.97684211,2016-05-31T15:37:00Z,66075,376336
53,31/05/2016 15:51,7,5,A,7.003,0.667,1.759,1.092,0.620807277,0.012678009,0,0.023221519,722.7840664,9.709890725,1.257368421,817.6042105,-100.2105263,16.74578947,8.173157895,8.681052632,96.26315789,12.15526316,2016-05-31T15:51:00Z,68298,376596
54,31/05/2016 16:05,7,6,A,6.246,0.541,1.395,0.854,0.61218638,0.01042787,0,0.022310538,1088.023147,8.877705123,1.394210526,520.4142105,-96.78947368,16.80105263,8.155263158,8.506315789,94.26315789,11.61842105,2016-05-31T16:05:00Z,70649,377974
55,31/05/2016 16:19,7,7,A,6.583,0.597,1.551,0.954,0.615087041,0.011453013,0,0.021594877,799.3889014,9.456328765,1.091578947,23.91105263,-104.2105263,17.11789474,8.072631579,8.051052632,88.73684211,9.523684211,2016-05-31T16:19:00Z,72809,378051
56,31/05/2016 16:34,7,7,A,5.759,0.46,1.194,0.734,0.614740369,0.008829744,0,0.016752422,732.2020457,6.672894524,1.036315789,21.62157895,-105.3157895,17.20315789,8.025263158,7.818947368,85.89473684,8.821052632,2016-05-31T16:34:00Z,73638,375791
57,31/05/2016 16:50,7,9,A,5.281,0.38,1.017,0.637,0.626352016,0.007158914,0,0.015490677,867.3687101,5.238340664,1.258571429,49.82357143,-117,17.35285714,7.999285714,7.646428571,84.07142857,8.364285714,2016-05-31T16:50:00Z,75692,373852
58,13/06/2016 08:52,8,1,R,5.737,0.456,1.069,0.613,0.573433115,0.009383483,0,0.021942754,558.0892395,3.558660814,1.939473684,32.30894737,-106.9473684,16.60105263,8.184210526,7.548947368,92.42105263,27.90578947,2016-06-13T08:52:00Z,33494,382042
59,13/06/2016 09:05,8,3,R,7.508,0.751,1.881,1.13,0.600744285,0.014751368,0,0.031048466,359.3976506,4.800981454,1.726842105,1188.593158,-106.4736842,16.69578947,8.18,7.461578947,91.42105263,27.16684211,2016-06-13T09:05:00Z,36829,380700
60,13/06/2016 09:20,8,3,A,7.913,0.819,2.013,1.194,0.59314456,0.016293161,0,0.035767217,967.5995102,9.037729466,0.816842105,1191.557368,-109.7894737,17.02736842,8.156315789,7.34,89.47368421,25.24105263,2016-06-13T09:20:00Z,39128,377729
