,,,Compartiment van RWS (zie rapport),PI curve A(ccept) or R(eject) ,Chl uit FRRF (ug.L),Background corrrected fluorescence,Max fluorescence (background corrected),Fq  (background corrected),Fq / Fm (background corrected),,,Eilers - Peters model parameter,Eilers - Peters model parameter,Eilers - Peters model parameter,This and next columns: Meetvis data,,,,,,,
,date,campaign,box_RWS,flag,Chl,F_bc,Fm_bc,Fq_bc,FqFm_bc,a_LHII,JVPII_bc,alpha,eopt,ps,Fluo,Turb,SensH,Temp,pH,Oxy,Oxy_sat,Sal
1,02/05/2016 11:58,NA,NA,A,5.968,0.495,1.036,0.541,0.522200772,0.011185353,0,0.021548111,1379.000721,7.531674819,NA,NA,NA,NA,NA,NA,NA,NA
2,02/05/2016 12:22,NA,NA,R,5.63,0.438,0.833,0.395,0.474189676,0.010899436,0,0.015476845,1499.999618,6.55496641,NA,NA,NA,NA,NA,NA,NA,NA
3,02/05/2016 12:37,NA,NA,A,5.251,0.375,0.688,0.313,0.45494186,0.009726518,0,0.012764624,616.521705,4.671824541,NA,NA,NA,NA,NA,NA,NA,NA
4,02/05/2016 12:50,NA,NA,A,5.015,0.336,0.7,0.364,0.52,0.007624615,0,0.013820584,691.1676995,3.815916827,NA,NA,NA,NA,NA,NA,NA,NA
5,02/05/2016 12:50,NA,NA,A,5.449,0.408,0.975,0.567,0.581538462,0.00827873,0,0.014973681,887.7080692,4.152266575,NA,NA,NA,NA,NA,NA,NA,NA
6,02/05/2016 13:19,NA,NA,A,4.859,0.31,0.583,0.273,0.468267581,0.007811773,0,0.014832498,1499.97842,4.343358923,NA,NA,NA,NA,NA,NA,NA,NA
7,03/05/2016 11:07,6,1,A,22.96,3.327,7.175,3.848,0.53630662,0.073201781,0,0.147106894,592.941362,27.95137982,4.451818182,295.0918182,-113.0909091,10.19545455,8.501818182,10.29090909,109.3636364,28.88727273
8,03/05/2016 11:22,6,1,A,26.39,3.898,8.33,4.432,0.532052821,0.086450815,0,0.18143987,593.1355912,30.54263109,5.002631579,23.53368421,-105.1578947,10.19263158,8.498421053,10.2,108.1578947,28.75578947
9,03/05/2016 11:37,6,1,A,30.77,4.629,9.74,5.111,0.524743326,0.104093177,0,0.23019515,578.1772651,39.58391205,4.35,21.11263158,-105.3157895,10.20157895,8.508421053,10.22105263,108.5263158,28.68631579
10,03/05/2016 11:53,6,3,A,29.87,4.478,9.65,5.172,0.535958549,0.09859046,0,0.213816758,1499.992131,43.16149747,2.929473684,15.97368421,-102.9473684,10.45578947,8.500526316,10.42631579,109.6315789,26.95631579
11,03/05/2016 12:08,6,3,A,22.35,3.225,6.984,3.759,0.538230241,0.070703943,0,0.145767737,562.034673,29.72016941,2.450526316,8.576842105,-108.7368421,10.61315789,8.505789474,10.70526316,112.5789474,25.87105263
12,03/05/2016 12:23,6,3,A,20.08,2.847,5.867,3.02,0.51474348,0.065264741,0,0.132998045,855.7885439,32.1170584,2.593157895,11.73,-107.8421053,10.64631579,8.471052632,10.57894737,109.6315789,23.61368421
13,03/05/2016 12:38,6,3,A,17.94,2.489,5.428,2.939,0.541451732,0.054243432,0,0.131139216,771.0165679,23.44742078,3.0635,13.614,-99.5,10.5525,8.4455,10.415,107.4,23.419
14,03/05/2016 12:53,6,3,A,20.49,2.914,6.407,3.493,0.545184954,0.063070706,0,0.129078241,753.0916592,30.04615535,3.2335,15.816,-100.4,10.567,8.4355,10.395,107,22.9145
15,03/05/2016 13:08,6,4,A,19.87,2.811,6.107,3.296,0.539708531,0.061458728,0,0.130754248,838.9947172,31.06998337,2.871052632,13.50526316,-102.5789474,10.60368421,8.436315789,10.47894737,107.6842105,22.59368421
16,03/05/2016 13:23,6,4,A,17.33,2.389,5.313,2.924,0.550348203,0.05122248,0,0.12797584,1086.018069,25.37869337,2.798421053,12.67157895,-106.5789474,10.66473684,8.426315789,10.5,107.7368421,21.61842105
17,03/05/2016 13:38,6,4,A,17.08,2.346,5.313,2.967,0.558441558,0.049571526,0,0.098370622,783.3705352,23.95407797,2.2745,10.662,-109.3,10.833,8.416,10.62,107.75,19.6705
18,03/05/2016 13:54,6,4,A,16.65,2.276,5.027,2.751,0.547244878,0.049076384,0,0.107130015,1499.999838,27.59303013,1.569,8.957,-106.8,10.987,8.385,10.56,106.6,18.337
19,03/05/2016 14:01,6,4,R,13.5,1.75,3.804,2.054,0.539957939,0.03824372,0,0.068521412,286.2623794,11.46181344,1.569,8.957,-106.8,10.987,8.385,10.56,106.6,18.337
20,03/05/2016 16:28,6,5,A,14.35,1.891,4.343,2.452,0.564586691,0.039522363,0,0.072083644,723.8004498,25.35973064,1.379473684,130.4026316,-107.0526316,11.25526316,8.346842105,10.34210526,102.9473684,15.54789474
21,03/05/2016 16:43,6,5,A,10.55,1.259,2.841,1.582,0.556846181,0.026679181,0,0.060692203,926.3758193,16.37507101,1.222631579,1035.800526,-109.1052632,11.35947368,8.300526316,10.2,101,14.40631579
22,03/05/2016 16:59,6,5,R,9.037,1.006,2.259,1.253,0.554670208,0.021401546,0,0.044301937,839.2669174,13.47214735,1.097894737,162.8852632,-103.3684211,11.24473684,8.274736842,10.03684211,98.47368421,13.24263158
