CompCode,POINT_X,POINT_Y
,,
0,77983.484,371449.458
,,
0,77458.653,371384.5336
,,
0,77206.4745,371353.3383
,,
0,77206.2659,371353.3124
,,
0,76687.8192,371289.1795
,,
0,76694.9527,371616.1326
,,
0,76649.4941,371766.8638
,,
0,76472.4447,372006.1197
,,
0,76306.1618,372164.0287
,,
0,76270.2734,372181.9729
,,
0,76240.3665,372174.7952
,,
0,76028.625,372069.5226
,,
0,76001.1105,372069.5226
,,
0,75794.1541,372293.2269
,,
0,75557.8889,372557.6047
,,
0,75455.0089,372629.3814
,,
0,75170.2943,372932.0402
,,
0,75187.0422,372989.4616
,,
0,75109.284,372983.4802
,,
0,74673.2401,373454.8144
,,
0,74546.6891,373635.7705
,,
0,74688.6061,373819.6153
,,
0,74810.7661,373972.6071
,,
0,75205.0589,374307.4256
,,
0,75933.5156,374925.2679
,,
0,75936.0588,374927.4249
,,
0,75953.1679,374943.1704
,,
0,75979.0965,374863.0274
,,
0,76008.5608,374766.3844
,,
0,76060.418,374639.0984
,,
0,76078.0966,374554.2412
,,
0,76056.5835,374408.9605
,,
0,76097.8586,374393.0855
,,
0,76491.5594,374225.6039
,,
0,77347.6205,373872.3844
,,
0,77980.6373,373641.4027
,,
0,77977.4623,373592.1901
,,
0,77771.0869,373570.7588
,,
0,77746.4806,373523.9275
,,
0,77746.4806,373477.0961
,,
0,77949.681,373403.2772
,,
0,77946.506,373343.7459
,,
0,77742.5119,373322.3146
,,
0,77409.93,373356.4459
,,
0,77264.6734,373435.0273
,,
0,77245.6234,373421.5335
,,
0,77443.2675,372932.5825
,,
0,77727.4306,372218.9999
,,
0,77825.062,372150.7372
,,
0,77896.4997,372111.8434
,,
0,77925.8685,371961.0306
,,
0,77959.206,371694.3301
,,
0,77983.484,371449.458
,,
1,34682.0804,386207.4301
,,
1,34929.0803,386183.4301
,,
1,34988.0802,386135.43
,,
1,35107.0801,386067.4301
,,
1,35405.08,385894.4302
,,
1,35431.0799,385864.4302
,,
1,35470.0799,385713.4302
,,
1,35505.4653,385700.652
,,
1,35530.8016,385723.2731
,,
1,35530.4071,385728.7419
,,
1,35532.2871,385728.186
,,
1,35532.0798,385729.4302
,,
1,35977.0797,385598.4302
,,
1,35984.0797,385568.4302
,,
1,36022.2973,385567.4747
,,
1,36160.7694,385740.0905
,,
1,36223.7573,385778.2784
,,
1,36229.418,385779.7454
,,
1,36233.374,385780.7706
,,
1,36308.0796,385800.4299
,,
1,36378.0796,385802.4299
,,
1,36481.0794,385752.4298
,,
1,36745.0793,385553.4298
,,
1,36964.0791,385393.4301
,,
1,37232.079,385190.43
,,
1,37433.0788,385006.4301
,,
1,37653.0787,384794.4302
,,
1,37931.0784,384538.4303
,,
1,38157.0783,384319.4304
,,
1,38384.0781,384103.4305
,,
1,38427.078,384042.4305
,,
1,38564.078,383896.4307
,,
1,38560.078,383854.4306
,,
1,38557.6027,383854.5337
,,
1,38557.5196,383853.7682
,,
1,38510.3673,383855.4241
,,
1,38438.2619,383857.986
,,
1,38412.9838,383855.3969
,,
1,38307.0781,383817.4308
,,
1,38242.8074,383794.7469
,,
1,38222.1508,383787.3394
,,
1,38292.0781,383699.4308
,,
1,38438.0779,383720.4308
,,
1,38564.9307,383770.5817
,,
1,38581.9848,383803.1435
,,
1,38583.5884,383802.5092
,,
1,38584.078,383803.4307
,,
1,38662.0779,383773.4306
,,
1,38945.0777,383449.4309
,,
1,38938.0776,383402.4309
,,
1,38881.0776,383365.431
,,
1,38713.0778,383269.431
,,
1,38496.2177,383087.3883
,,
1,38686.5753,383215.4887
,,
1,38851.6211,383308.9587
,,
1,38851.4904,383307.9727
,,
1,38854.0777,383309.4309
,,
1,38842.0777,383220.431
,,
1,38672.0776,383035.4312
,,
1,38632.1273,382938.552
,,
