uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1593678497_1_OS_S,Oosterschelde,noord,2020-07-02 10:10:17,13.83,0.049,284,5.7,0.9,5,1685.9,64978,406319,0.43,2.1,29.68,19.2,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593679717_1_OS_S,Oosterschelde,noord,2020-07-02 10:30:37,11.1,0.037,296,2.6,0.9,5,604.68,61563,403525,0.76,0.61,30.86,19.11,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593680840_1_OS_S,Oosterschelde,midden,2020-07-02 10:49:20,9.69,0.034,281,2.2,0.9,5,460.13,57756,402496,0.87,0.38,31.32,19.24,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593681963_1_OS_S,Oosterschelde,midden,2020-07-02 11:08:03,11.77,0.029,407,2.5,0.9,5,550.97,56145,399111,1.01,0.68,31.46,19.21,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593683086_1_OS_S,Oosterschelde,oost,2020-07-02 11:26:46,14.21,0.037,388,3.1,0.9,5,765.02,58907,395113,0.76,1.23,31.43,19.55,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1593684333_1_OS_S,Oosterschelde,oost,2020-07-02 11:47:33,14.18,0.042,341,3.9,0.8,5,1119.5,64613,393328,0.19,1.38,31.31,19.72,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594708784_1_OS_S,Oosterschelde,midden,2020-07-14 08:21:44,10.95,0.039,278,4.9,1,5,468.5,52768,396689,1.98,0.77,31.55,19.04,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594709907_1_OS_S,Oosterschelde,midden,2020-07-14 08:40:27,12.33,0.038,321,3.5,1,5,351.26,57653,394947,1.81,1.35,31.37,19.19,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594711030_1_OS_S,Oosterschelde,oost,2020-07-14 08:59:10,11.82,0.038,307,3.7,1,5,387.56,62464,393436,1.21,0.94,31.29,19.22,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594712153_1_OS_S,Oosterschelde,oost,2020-07-14 09:17:53,12.76,0.042,304,3.2,0.9,5,377.34,67285,391713,0.75,0.92,31.17,19.34,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594713276_1_OS_S,Oosterschelde,oost,2020-07-14 09:36:36,15.12,0.039,384,3,0.9,5,342.28,67567,391521,0.71,0.71,31.17,19.3,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594714520_1_OS_S,Oosterschelde,oost,2020-07-14 09:57:20,13.83,0.035,391,3.3,0.9,5,347.81,63912,393592,1,0.71,31.27,19.14,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1594715643_1_OS_S,Oosterschelde,oost,2020-07-14 10:16:03,13.83,0.03,459,3.1,0.9,5,272.2,60029,394891,1.1,1.27,31.31,19.25,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
