uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1603714597_1_WS_S,Westerschelde,5,2020-10-26 13:03:07,8.57,0.035,243,4.2,1.9,5,193.05,60449,383344,9.19,0.58,23.98,13.17,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1603715818_1_WS_S,Westerschelde,5,2020-10-26 13:18:58,10.08,0.026,383,2.2,1.9,5,87.52,60679,383066,9.46,0.65,23.52,13.19,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1603716877_1_WS_S,Westerschelde,5,2020-10-26 13:36:37,9.97,0.027,374,2.4,2.1,5,82.71,68557,376733,10.96,0.56,20.17,13.39,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1603718100_1_WS_S,Westerschelde,5,2020-10-26 13:57:00,10.4,0.025,414,2.2,2.1,5,70.88,68557,376733,10.96,0.56,20.17,13.39,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1603718863_1_WS_S,Westerschelde,6,2020-10-26 14:15:43,7.35,0.025,291,2.1,3,5,42.89,69994,377552,18.61,0.75,19.47,13.51,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1603720036_1_WS_S,Westerschelde,6,2020-10-26 14:29:16,10.27,0.024,434,2,2.3,5,55.66,72462,378302,12.66,0.6,18.07,13.7,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1603720821_1_WS_S,Westerschelde,7a,2020-10-26 14:48:21,7.38,0.023,321,2,2.2,5,51.54,73851,375524,11.88,0.5,16.66,13.92,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602736154_1_WS_S,Westerschelde,5,2020-10-15 06:14:14,7.74,0.024,326,1.8,2.8,5,43.76,59606,383979,17.03,0.89,22.16,13.83,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602737327_1_WS_S,Westerschelde,5,2020-10-15 06:30:47,11.74,0.022,543,2.6,3.2,5,69.52,61486,381774,19.72,0.77,20.62,13.85,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602738367_1_WS_S,Westerschelde,5,2020-10-15 06:48:07,9.85,0.03,327,2.5,2.7,5,77.84,63790,379291,15.59,0.76,20.38,13.95,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602739590_1_WS_S,Westerschelde,5,2020-10-15 07:08:30,10.36,0.025,415,2.1,2,5,78.97,65784,376273,10.42,0.54,18.19,14.15,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602740713_1_WS_S,Westerschelde,5,2020-10-15 07:27:13,9.3,0.023,408,2,2.3,5,56.21,68397,376667,12.95,0.56,17.19,14.33,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602741836_1_WS_S,Westerschelde,6,2020-10-15 07:45:56,11.19,0.023,489,2.1,3.9,5,37.58,71417,378325,25.76,0.69,14.95,14.69,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602670552_1_WS_S,Westerschelde,1,2020-10-14 11:57:52,10.26,0.032,321,2.1,1.8,5,80.67,29779,382010,8.43,0.71,31.31,14.04,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602671771_1_WS_S,Westerschelde,1,2020-10-14 12:18:11,11.63,0.026,452,2.7,3.2,5,55.82,35830,381685,20.33,0.84,30.99,14.12,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602672894_1_WS_S,Westerschelde,3,2020-10-14 12:36:54,11.84,0.027,446,2.3,2,5,71.8,39270,377481,10.24,0.71,28.88,14.18,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602673937_1_WS_S,Westerschelde,3,2020-10-14 12:54:17,11.93,0.025,479,2.4,3,5,51.55,43351,375322,18.46,1.14,28.05,14.11,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602675014_1_WS_S,Westerschelde,3,2020-10-14 13:13:44,13.75,0.033,421,2.7,3.6,5,53.72,46218,374453,23.47,0.89,27.75,14.02,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602676238_1_WS_S,Westerschelde,3,2020-10-14 13:32:38,11.74,0.028,413,2.2,3.6,5,41.32,46218,374453,23.47,0.89,27.75,14.02,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1602677361_1_WS_S,Westerschelde,3,2020-10-14 13:51:21,10.88,0.027,400,2,3.6,5,35.99,46218,374453,23.47,0.89,27.75,14.02,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1601527071_1_WS_S,Westerschelde,4,2020-10-01 06:21:21,11.28,0.03,382,2,2.1,5,38.22,59553,384028,11.04,0.7,24.24,16.88,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1601528243_1_WS_S,Westerschelde,5,2020-10-01 06:39:23,11.28,0.026,430,2.4,2.5,5,37.26,61310,382006,14,0.76,22.66,16.98,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1601529195_1_WS_S,Westerschelde,5,2020-10-01 06:56:45,11.61,0.027,425,2.3,2.5,5,35.03,63220,379777,14.25,0.79,22.5,17.03,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1601530359_1_WS_S,Westerschelde,5,2020-10-01 07:14:39,12.16,0.031,396,2.5,2.4,5,43.86,65082,377604,13.05,0.76,21.6,17.16,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1601531581_1_WS_S,Westerschelde,5,2020-10-01 07:35:01,9.82,0.023,428,2.1,2.1,5,32.71,66824,376338,11.06,0.7,20.85,17.26,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1601532626_1_WS_S,Westerschelde,6,2020-10-01 07:52:26,10.62,0.026,413,2.1,2.3,5,32.18,69569,377377,12.6,0.77,19.93,17.4,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
