uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1611733688_1_GRV_S,Grevelingen,oost,2021-01-27 08:30:08,1.73,0.017,98,1.3,0.9,5,13.64,64646,412072,0.46,0.02,29.88,4.12,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611735097_1_GRV_S,Grevelingen,midden,2021-01-27 08:53:37,1.62,0.018,90,1.2,0.9,5,11.26,59813,414259,0.52,0.06,30.06,4.35,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611736279_1_GRV_S,Grevelingen,midden,2021-01-27 09:13:19,1.62,0.011,143,1.3,0.9,5,10.02,58838,415242,0.51,0.16,29.99,4.37,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611737438_1_GRV_S,Grevelingen,midden,2021-01-27 09:32:38,2.44,0.017,141,1.1,0.9,5,10.54,55813,417422,0.5,0.09,30.2,4.46,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1611738144_1_GRV_S,Grevelingen,west,2021-01-27 09:50:24,1.55,0.012,124,1.1,0.9,5,8.92,53035,418606,0.83,0.1,29.97,4.48,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1614152588_1_GRV_S,Grevelingen,oost,2021-02-24 08:25:08,2.26,0.018,122,1.1,0.9,5,53.51,65060,412068,0.32,0.07,29.99,4.84,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1614153711_1_GRV_S,Grevelingen,oost,2021-02-24 08:43:51,2.76,0.018,151,1.2,0.9,5,63.11,62488,412547,0.35,0.06,29.99,4.15,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1614154834_1_GRV_S,Grevelingen,midden,2021-02-24 09:02:34,2.85,0.021,139,1.2,0.9,5,64.17,59076,414950,0.45,0.06,29.86,3.97,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1614155953_1_GRV_S,Grevelingen,midden,2021-02-24 09:21:13,3.23,0.019,165,1.4,0.9,5,81.75,59091,414914,0.51,0.1,29.85,3.97,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1614157173_1_GRV_S,Grevelingen,midden,2021-02-24 09:41:33,3.25,0.022,150,1.5,0.9,5,92.26,55781,417503,0.46,0.06,29.84,4.47,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618978698_1_GRV_S,Grevelingen,oost,2021-04-21 06:00:18,3.43,0.032,106,2.9,0.9,5,319.68,67536,411410,0.4,0.38,29.54,11.59,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618979914_1_GRV_S,Grevelingen,oost,2021-04-21 06:20:34,2.58,0.023,110,1.9,0.9,5,174.63,65240,412157,0.5,0.38,29.31,10.73,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618981057_1_GRV_S,Grevelingen,midden,2021-04-21 06:39:37,3.1,0.023,137,2.2,0.9,5,218.93,61859,412657,0.38,0.3,29.67,10.55,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618982200_1_GRV_S,Grevelingen,midden,2021-04-21 06:58:40,3.09,0.02,156,2.3,0.9,5,230.8,59202,414779,0.4,0.51,29.58,10.26,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618983736_1_GRV_S,Grevelingen,midden,2021-04-21 07:24:16,3.94,0.026,153,3.1,0.9,5,387.73,58141,416966,0.38,0.74,29.59,10.59,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618984879_1_GRV_S,Grevelingen,midden,2021-04-21 07:43:19,4.6,0.03,155,2.8,0.9,5,386.72,57104,419319,0.41,0.58,29.69,9.67,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618986022_1_GRV_S,Grevelingen,midden,2021-04-21 08:02:22,4.83,0.026,184,3,0.9,5,418.03,55118,421328,0.37,0.7,29.7,9.23,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618987165_1_GRV_S,Grevelingen,west,2021-04-21 08:21:25,4.5,0.028,161,2.6,0.9,5,356.03,53222,420629,0.39,0.59,29.64,9.66,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618988308_1_GRV_S,Grevelingen,west,2021-04-21 08:40:28,4.29,0.028,153,3.1,0.9,5,396.36,50094,418419,0.83,1,29.21,9.53,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1618989594_1_GRV_S,Grevelingen,west,2021-04-21 09:01:54,5.71,0.027,210,5,0.9,5,753.99,48899,418315,0.7,1.06,29.28,9.44,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
