uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,knmiStations,parReflectionCorrection
1611129903_1_MM_S,Markermeer,MarkermeerMidden,2021-01-20 08:47:03,3.08,0.037,83,12,6.1,5,43.34,156110,503028,44.3,3,NA,"Berkhout, Lelystad",0.94
1611131025_1_MM_S,Markermeer,MarkermeerMidden,2021-01-20 09:05:45,2.5,0.034,72,8.6,3.6,5,46.31,153373,507361,23.4,2.3,NA,"Berkhout, Lelystad",0.94
1611132148_1_MM_S,Markermeer,MarkermeerMidden,2021-01-20 09:24:28,2.37,0.036,66,9.4,5.3,5,34.5,150748,511999,37.6,3.13,NA,"Berkhout, Lelystad",0.94
1611133271_1_MM_S,Markermeer,MarkermeerMidden,2021-01-20 09:43:11,2.64,0.037,70,10.7,4.9,5,45.53,148557,516584,34.8,3.12,NA,"Berkhout, Lelystad",0.94
1611134494_1_MM_S,Markermeer,HoornseHop,2021-01-20 10:03:34,3.16,0.037,84,11.2,4.1,5,59.17,147066,520348,27.6,4.11,NA,"Berkhout, Lelystad",0.94
1611135616_1_MM_S,Markermeer,HoornseHop,2021-01-20 10:22:16,3.03,0.039,78,10.7,4.3,5,54.09,146967,519946,29.8,3.01,NA,"Berkhout, Lelystad",0.94
1611136739_1_MM_S,Markermeer,HoornseHop,2021-01-20 10:40:59,3.31,0.036,91,12,6.3,5,40.99,143875,516484,46.6,3.56,NA,"Berkhout, Lelystad",0.94
1611137862_1_MM_S,Markermeer,HoornseHop,2021-01-20 10:59:42,3.15,0.039,80,11.9,9,5,29.73,139794,513690,69,3.65,NA,"Berkhout, Lelystad",0.94
1611138986_1_MM_S,Markermeer,HoornseHop,2021-01-20 11:18:26,3.07,0.035,88,9.2,5,5,38.13,134890,513773,35.6,2.7,NA,"Berkhout, Lelystad",0.94
1611140108_1_MM_S,Markermeer,HoornseHop,2021-01-20 11:37:08,3.27,0.034,96,9,4.6,5,40.94,133048,513947,31.8,3.04,NA,"Berkhout, Lelystad",0.94
1611141231_1_MM_S,Markermeer,HoornseHop,2021-01-20 11:55:51,3.2,0.038,84,11.2,5.8,5,43.33,133384,511835,42,3.24,NA,"Berkhout, Lelystad",0.94
1611142354_1_MM_S,Markermeer,HoornseHop,2021-01-20 12:14:34,2.99,0.04,75,10.7,6.7,5,35.01,134482,507326,49.5,3.38,NA,"Berkhout, Lelystad",0.94
1611143476_1_MM_S,Markermeer,HoornseHop,2021-01-20 12:33:16,2.89,0.034,83,8.3,8.1,5,20.5,135396,502898,61.7,2.37,NA,"Berkhout, Lelystad",0.94
1611144599_1_MM_S,Markermeer,Gouwzee,2021-01-20 12:51:59,3.01,0.033,92,8,8.5,5,18.7,134491,498588,64.6,3.15,NA,"Berkhout, Lelystad",0.94
1611145722_1_MM_S,Markermeer,Gouwzee,2021-01-20 13:10:42,3.9,0.036,108,15.9,16.6,5,22.07,134468,497382,133,6.62,NA,"Berkhout, Lelystad",0.94
1611146844_1_MM_S,Markermeer,Gouwzee,2021-01-20 13:29:24,3.16,0.034,93,9.3,8,5,24.06,134532,499172,61,2.57,NA,"Berkhout, Lelystad",0.94
1611147967_1_MM_S,Markermeer,HoornseHop,2021-01-20 13:48:07,3.3,0.037,88,11.4,6.5,5,38.01,138018,501709,47.8,3.07,NA,"Berkhout, Lelystad",0.94
1611149090_1_MM_S,Markermeer,MarkermeerMidden,2021-01-20 14:06:50,3.11,0.034,91,10.2,5.5,5,38.89,143206,502202,39.7,2.82,NA,"Berkhout, Lelystad",0.94
