uniqueId,gebied,Deelgebied,DateTimeAmsterdam,PBmax,alfaB,Ek,Chlorofyl,Kd,conversionEtoC,PrimaireProductie_MgC_m2_dag,X,Y,Troebelheid,ChlorofylFluorescentie,Saliniteit,Temperatuur,knmiStations,parReflectionCorrection
1613981762_1_VM_S,VeerseMeer,oost,2021-02-22 08:58:02,1.58,0.013,117,1.5,0.9,5,40.33,46385,396953,0.45,0.23,22.56,5.83,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1613982900_1_VM_S,VeerseMeer,midden,2021-02-22 09:18:30,0.46,0.005,88,1,0.9,5,8.64,44782,396368,0.46,0.24,22.48,5.52,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1613984079_1_VM_S,VeerseMeer,midden,2021-02-22 09:36:39,2.72,0.013,212,1.5,0.9,5,48.97,42911,397292,0.5,0.17,22.1,6.15,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1613985258_1_VM_S,VeerseMeer,midden,2021-02-22 09:56:18,1.04,0.009,118,1.1,0.9,5,16.46,40468,396295,0.64,0.12,21.94,5.66,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1613986633_1_VM_S,VeerseMeer,midden,2021-02-22 10:19:13,1.24,0.008,162,1.1,0.9,5,18.52,38581,394440,0.41,0.16,23.09,5.06,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616403882_1_VM_S,VeerseMeer,oost,2021-03-22 09:46:42,4.83,0.019,254,2.6,0.9,5,152.25,48112,396547,0.47,0.56,26.31,7.27,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616405005_1_VM_S,VeerseMeer,oost,2021-03-22 10:05:25,3.76,0.026,146,3,0.9,5,185.41,45633,396587,0.56,0.72,25.66,7.42,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616406128_1_VM_S,VeerseMeer,midden,2021-03-22 10:24:08,3.7,0.022,168,3.4,0.9,5,211.53,44219,396585,0.59,1.02,25.66,7.15,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616407251_1_VM_S,VeerseMeer,midden,2021-03-22 10:42:51,2.26,0.019,121,1.9,0.9,5,79.23,41943,397207,0.46,0.88,25.62,7.16,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616408374_1_VM_S,VeerseMeer,midden,2021-03-22 11:01:34,4.09,0.03,137,4.4,0.9,5,299.1,40194,396046,0.45,1.12,25.42,7.28,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616409695_1_VM_S,VeerseMeer,midden,2021-03-22 11:23:35,3.79,0.027,141,3.7,0.9,5,233.69,39302,395343,0.44,1.1,25.38,7.35,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616410868_1_VM_S,VeerseMeer,west,2021-03-22 11:43:08,3.41,0.023,147,3.1,0.9,5,182.29,37411,393827,0.57,1.18,25.41,7.26,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616411992_1_VM_S,VeerseMeer,west,2021-03-22 12:01:52,3.41,0.024,144,2.9,0.9,5,173.42,36699,395903,0.58,0.83,25.67,7.17,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616413114_1_VM_S,VeerseMeer,west,2021-03-22 12:20:34,3.5,0.026,133,2.9,0.9,5,182.42,35479,397393,0.44,0.53,25.9,7.08,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616414237_1_VM_S,VeerseMeer,west,2021-03-22 12:39:17,3.4,0.025,135,2.9,0.9,5,177.89,35039,397985,0.45,0.57,25.96,7.18,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1616415360_1_VM_S,VeerseMeer,west,2021-03-22 12:58:00,3.5,0.025,137,2.9,0.9,5,176.33,35039,397985,0.45,0.57,25.96,7.18,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617695058_1_VM_S,VeerseMeer,oost,2021-04-06 09:26:18,4.68,0.026,178,5.2,1.1,5,343.19,49077,395868,2.32,1.24,27.89,7.52,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617696201_1_VM_S,VeerseMeer,oost,2021-04-06 09:45:21,4.18,0.027,154,4.6,0.9,5,333.93,46758,397090,0.9,1.13,27.78,7.75,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617697344_1_VM_S,VeerseMeer,oost,2021-04-06 10:04:24,3.45,0.023,147,3.9,1,5,219.91,45152,396396,1.87,0.83,27.26,7.02,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617698487_1_VM_S,VeerseMeer,midden,2021-04-06 10:23:27,4.07,0.025,163,3.4,0.9,5,258.48,42851,397290,0.55,0.36,27.38,8.14,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617699630_1_VM_S,VeerseMeer,midden,2021-04-06 10:42:30,3.72,0.027,139,3.5,0.9,5,257.29,40894,396564,0.43,0.75,27.07,8.27,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617700857_1_VM_S,VeerseMeer,midden,2021-04-06 11:02:57,3.55,0.021,172,3.2,0.9,5,205.39,39927,395864,0.67,0.67,26.78,8.13,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
1617702000_1_VM_S,VeerseMeer,west,2021-04-06 11:22:00,3.37,0.021,162,3.2,0.9,5,195.55,37411,393831,0.94,0.88,26.62,7.96,"Vlissingen, Wilhelminadorp, Westdorpe",0.94
