# calculated from SM data
# pelagic primary production in gC/m2/d from 14C metingen
# locations only those related to SM stations
# year - year
# month - month
# monthlymean - monthly mean gross production in gC/m2/d
# date - constructed date
stationname;year;month;monthlyMean;na.rm;date
OM11;2010;2;0.008692307692307692;TRUE;2010-02-15
OM11;2010;3;0.06687096774193549;TRUE;2010-03-15
OM11;2010;4;0.5589333333333333;TRUE;2010-04-15
OM11;2010;5;0.7485806451612903;TRUE;2010-05-15
OM11;2010;6;3.4106666666666667;TRUE;2010-06-15
OM11;2010;7;3.881774193548387;TRUE;2010-07-15
OM11;2010;8;1.5803870967741935;TRUE;2010-08-15
OM11;2010;9;0.9020333333333334;TRUE;2010-09-15
OM11;2010;10;0.10996774193548388;TRUE;2010-10-15
OM11;2010;11;0.0112;TRUE;2010-11-15
OM11;2010;12;0.00664516129032258;TRUE;2010-12-15
OM11;2011;1;0.007129032258064516;TRUE;2011-01-15
OM11;2011;2;0.022035714285714287;TRUE;2011-02-15
OM11;2011;3;0.11361290322580646;TRUE;2011-03-15
OM11;2011;4;1.2510000000000001;TRUE;2011-04-15
OM11;2011;5;4.347322580645161;TRUE;2011-05-15
OM11;2011;6;1.4999666666666667;TRUE;2011-06-15
OM11;2011;7;0.7763870967741936;TRUE;2011-07-15
OM11;2011;8;0.4786774193548387;TRUE;2011-08-15
OM11;2011;9;0.21293333333333334;TRUE;2011-09-15
OM11;2011;10;0.13161290322580646;TRUE;2011-10-15
OM11;2011;11;0.0465;TRUE;2011-11-15
OM11;2011;12;0.00632258064516129;TRUE;2011-12-15
OM11;2012;1;0.0064516129032258064;TRUE;2012-01-15
OM11;2012;2;0.029379310344827585;TRUE;2012-02-15
OM11;2012;3;0.15229032258064515;TRUE;2012-03-15
OM11;2012;4;0.3283333333333333;TRUE;2012-04-15
OM11;2012;5;0.5010967741935484;TRUE;2012-05-15
OM11;2012;6;0.44630000000000003;TRUE;2012-06-15
OM11;2012;7;1.2259032258064515;TRUE;2012-07-15
OM11;2012;8;4.468387096774194;TRUE;2012-08-15
OM11;2012;9;3.9937666666666667;TRUE;2012-09-15
OM11;2012;10;2.2506129032258064;TRUE;2012-10-15
OM11;2012;11;0.006666666666666666;TRUE;2012-11-15
OM11;2012;12;0.0013870967741935485;TRUE;2012-12-15
OM11;2013;1;0.0032580645161290325;TRUE;2013-01-15
OM11;2013;2;0.014571428571428572;TRUE;2013-02-15
OM11;2013;3;0.10861290322580645;TRUE;2013-03-15
OM11;2013;4;0.9839666666666667;TRUE;2013-04-15
OM11;2013;5;1.5584516129032258;TRUE;2013-05-15
OM11;2013;6;4.4454666666666665;TRUE;2013-06-15
OM11;2013;7;3.8363548387096773;TRUE;2013-07-15
OM11;2013;8;4.505;TRUE;2013-08-15
OM11;2013;9;1.9808000000000001;TRUE;2013-09-15
OM11;2013;10;0.4791290322580645;TRUE;2013-10-15
OM11;2013;11;0.0335;TRUE;2013-11-15
OM11;2013;12;0.0057;TRUE;2013-12-15
OM11;2014;1;0.014090909090909091;TRUE;2014-01-15
OM11;2014;2;0.03414285714285714;TRUE;2014-02-15
OM11;2014;3;0.17106451612903226;TRUE;2014-03-15
OM11;2014;4;0.7080333333333333;TRUE;2014-04-15
OM11;2014;5;1.7221612903225807;TRUE;2014-05-15
OM11;2014;6;2.0241;TRUE;2014-06-15
OM11;2014;7;1.4974838709677418;TRUE;2014-07-15
OM11;2014;8;0.6814193548387096;TRUE;2014-08-15
OM11;2014;9;0.25743333333333335;TRUE;2014-09-15
OM11;2014;10;0.09732258064516129;TRUE;2014-10-15
