"stationname","longitude","latitude"
"Vlissingen boei SSVH","3.56579000","51.41290000"
"Walcheren 2 km uit de kust","3.40950000","51.54810000"
"Walcheren 20 km uit de kust","3.21921000","51.65780000"
"Hansweert geul","4.01439000","51.43700000"
"Terneuzen boei 20","3.82570000","51.34740000"
"Schaar van Ouden Doel","4.25093260","51.35118367"
"Hansweert boei OHMG","3.99090663","51.44093528"
"Vlissingen boei SSVH","3.56579345","51.41288731"
"Hooge Platen","3.63428000","51.39690000"
"Hoedekenskerke boei 4","3.92081000","51.42600000"
"Walcheren 2 km uit de kust","3.41083300","51.54888900"
"Walcheren 20 km uit de kust","3.22055600","51.65861000"
"Vlakte van de Raan","3.30904000","51.46421000"
