latitude longitude stationname datetime depth parametername parameterunit value
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-12-15T18:54:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.62
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-11-12T05:00:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.22
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-09-02T17:48:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.7
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-08-13T08:57:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.68
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-07-16T00:36:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 6.68
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-05-28T04:08:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.98
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-04-15T08:54:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 22
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-02-10T00:25:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.38
51.6578 3.21921 "Walcheren 20 km uit de kust" 1998-01-21T18:27:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1
51.41080224 3.35843516 Wielingen 1998-11-11T11:59:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.3
51.41080224 3.35843516 Wielingen 1998-08-26T09:30:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 6.34
51.41080224 3.35843516 Wielingen 1998-04-28T20:17:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 31.4
51.41080224 3.35843516 Wielingen 1998-02-04T12:14:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.84
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-01-21T19:16:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.5
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-02-10T01:17:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.22
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-04-15T07:38:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 33.8
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-05-28T03:08:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.02
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-07-15T23:27:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 10.4
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-08-13T07:56:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 7.24
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-09-02T16:36:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.96
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-11-12T03:55:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.9
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-12-15T17:47:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.98
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-01-27T18:44:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.32
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-02-05T06:00:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.94
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-02-17T12:48:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.38
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-02-24T15:13:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.64
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-09-30T01:43:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.92
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-11-19T05:17:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.48
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-11-25T07:00:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.36
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-12-02T01:58:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 0.98
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-12-23T13:34:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.9
51.5481 3.4095 "Walcheren 2 km uit de kust" 1998-12-30T00:09:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.8
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-01-19T06:34:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.1
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-02-16T06:08:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.9
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-02-20T12:13:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.98
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-03-16T05:19:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.78
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-04-14T04:58:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 13.6
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-05-11T03:44:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.96
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-05-13T07:54:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 11.2
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-05-25T03:22:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.12
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-06-02T08:36:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 11.4
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-06-15T05:38:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-06-29T06:34:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 8.2
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-07-13T05:42:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 10.2
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-07-27T04:49:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 14
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-08-10T04:45:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 6.6
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-08-12T09:44:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 16.4
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-08-24T04:56:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 4.16
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-09-14T08:12:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.22
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-09-28T07:23:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.1
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-10-12T07:31:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.8
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-11-05T07:09:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.24
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-11-09T06:31:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.44
51.41288731 3.56579345 "Vlissingen boei SSVH" 1998-12-07T06:21:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.4
51.34742676 3.82569972 "Terneuzen boei 20" 1998-02-16T07:54:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.68
51.34742676 3.82569972 "Terneuzen boei 20" 1998-02-19T11:42:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.4
51.34742676 3.82569972 "Terneuzen boei 20" 1998-05-14T08:55:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 28.4
51.34742676 3.82569972 "Terneuzen boei 20" 1998-08-13T10:52:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 47
51.34742676 3.82569972 "Terneuzen boei 20" 1998-11-04T07:12:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 3.36
51.34742676 3.82569972 "Terneuzen boei 20" 1998-11-09T08:31:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 1.88
51.34742676 3.82569972 "Terneuzen boei 20" 1998-12-07T08:15:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.18
51.43701537 4.01438853 "Hansweert geul" 1998-01-19T10:06:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.44
51.43701537 4.01438853 "Hansweert geul" 1998-02-16T10:08:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.22
51.43701537 4.01438853 "Hansweert geul" 1998-03-16T09:34:00Z -1 "Chlorofyl a in ug/l in oppervlaktewater" ug/l 2.48
