FID,id,latitude,longitude,depth,datetime,value,standardparameterid,dataproviderid,imisdatasetid,parametername,parameterunit,dataprovider,stationname,unit,valuesign
abiotic_observations.fid--3256cea3_182c573e9e4_-2e00,342863172,51.43701537,4.01438853,-1,1991-05-21T15:52:00Z,0.043,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Hansweert geul,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dff,342863194,51.43701537,4.01438853,-1,1991-06-17T12:32:00Z,0.044,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Hansweert geul,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dfe,360460940,51.41288731,3.56579345,-1,1991-01-08T09:21:00Z,0.105,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Vlissingen boei SSVH,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dfd,187595519,51.35118367,4.2509326,-1,2021-11-24T12:05:00Z,0.29,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dfc,196630132,51.5481,3.4095,-1,1999-10-13T14:55:00Z,0.06,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Walcheren 2 km uit de kust,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dfb,202355692,51.4129,3.56579,-1,2021-06-21T12:49:00Z,0.0365,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Vlissingen boei SSVH,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2dfa,204692848,51.3846,4.16569,-1,1980-10-27T13:18:00Z,0.77,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Bath boei 71,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2df9,204692881,51.3846,4.16569,-1,1980-11-10T12:40:00Z,0.83,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Bath boei 71,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2df8,289205328,51.6578,3.21921,-1,2015-02-11T11:52:00Z,0.0143,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Walcheren 20 km uit de kust,mgN/L,=
abiotic_observations.fid--3256cea3_182c573e9e4_-2df7,301147108,51.34957067,4.25147524,-1,2010-08-16T15:55:00Z,0.4,26,8,135,Ammonium in mgN/L in Oppervlaktewater,mgN/L,RWS - Rijkswaterstaat,Schaar van Ouden Doel,mgN/L,=
