compartiment,date,Eopt,Kd,PBmax,alpha,chl_surface,turbidity,conversionEtoC,irradiance_J_cm2
1,2009-01-15,457.230235061754,1.75,2.83480253815551,0.0175991157159987,0.933,NA,NA,318
1,2009-02-12,526.165096503168,4.641,3.32282067661272,0.01881427506568399,1.452,NA,NA,600
1,2009-03-05,616.44323401514,1.951,4.90540838223809,0.0181086107082506,3.407,NA,NA,1058
1,2009-04-09,540.961659611896,1.119,5.30519880321549,0.0167759652350784,35.816,NA,NA,637
1,2009-04-23,575.5010865158,2.572,9.89607090420517,0.0328854942288411,11.8,NA,NA,2325
1,2009-05-08,530.568337720116,1.129,7.7267384058476,0.0223581573790107,8.91,NA,NA,1785
1,2009-05-28,566.775849194284,1.615,7.03277283231278,0.014347426062399,8.81,NA,NA,1852
1,2009-06-25,591.662208339487,0.614,7.80815081248729,0.0203709605300875,5.813,NA,NA,2709
1,2009-07-09,687.90029233778,0.684,10.4425168212555,0.0245529895889181,4.94,NA,NA,1989
1,2009-08-27,629.198372726311,2.259,12.1485843303641,0.023865446617807,4.863,NA,NA,1185
1,2009-09-24,646.262437413944,3.7606,9.80019236135941,0.0171438182319277,3.274,NA,NA,1592
1,2009-10-15,631.783815540076,1.245,6.76607386837101,0.0251340030045872,1.994,NA,NA,1016
1,2009-11-19,489.296379923871,1.361,6.93547752845108,0.026636572254122,1.148,NA,NA,479
1,2009-12-10,453.586619020205,4.153,6.40944735862315,0.0329370354154888,0.919,NA,NA,194
1,2010-01-14,502.356558528815,4.72,2.99942825092827,0.0178293778803932,1.113,NA,NA,166
1,2010-02-18,456.358816299883,2.128,3.75555550623422,0.018440394637472,1.326,NA,NA,320
1,2010-03-18,428.232533440775,1.203,3.23325504396893,0.0163444041264621,3.852,NA,NA,1179
1,2010-04-09,548.021495354055,1.463,4.99664690769936,0.0195755462808638,9.48,NA,NA,2026
1,2010-04-29,434.881257411724,0.795,2.20547872775597,0.0136784596840446,12.186,NA,NA,1920
1,2010-05-20,430.631379268708,1.514,7.44896232182422,0.0372347672824468,7.557,NA,NA,2427
1,2010-06-10,470.324111603213,0.905,3.96845974265775,0.0167471654898819,10.297,NA,NA,657
1,2010-07-15,916.241710932821,0.812,14.2596272738348,0.0371856900391639,5.593,NA,NA,1976
1,2010-07-29,701.808546647842,0.882,8.25619956598963,0.0378599115127134,14.194,NA,NA,1559
1,2010-08-26,624.773169535732,1.072,10.3531108446006,0.0325035859010578,4.381,NA,NA,503
1,2010-09-09,512.576115691804,6.653,7.17185156080189,0.0243774744553866,6.875,NA,NA,1618
1,2010-09-23,565.295151302772,0.695,9.07840909059981,0.035924752756914,2.698,NA,NA,395
1,2010-10-14,482.459959627093,1.576,6.76902968959181,0.0336042409527828,5.158,NA,NA,263
1,2010-11-19,378.79859218457,2.238,5.01406004360643,0.0345979493610874,1.595,NA,NA,175
1,2010-12-16,349.300317564685,2.315,3.90395514528268,0.0350485109173505,1.329,NA,NA,35
1,2011-01-13,371.011678969479,2.292,3.30029094333143,0.0272945452386191,1.401,NA,NA,93
1,2011-02-10,359.413615855898,3.713,3.51009663065284,0.0260164999756454,1.589,NA,NA,285
1,2011-03-03,585.361169713529,2.045,5.09781037785757,0.0306121078763697,1.771,NA,NA,1249
1,2011-03-17,554.507055391897,2.57,4.85759322898543,0.0286110899556599,1.874,NA,NA,143
1,2011-04-07,368.711301263413,3.21,5.72830241473574,0.0354994189629042,7.335,NA,NA,1808
1,2011-04-21,394.713698709393,3.86,9.94655189171771,0.0632474261925157,15.221,NA,NA,2022
1,2011-05-12,489.523642296533,5.04,6.91171539317274,0.0256016077247988,11.573,NA,NA,2426
1,2011-05-26,516.064215777014,1.91,7.87146714136775,0.0350497575399084,7.977,NA,NA,1081
1,2011-06-09,582.419979596038,4.36,6.53504674631356,0.0250801510554614,7.368,NA,NA,2609
1,2011-06-23,563.239381229281,4.69,8.19160436518126,0.0275645354377597,6.696,NA,NA,2506
1,2011-07-07,564.922874002261,1.13,8.10592650969646,0.0324535488952177,22.612,NA,NA,2100
1,2011-07-21,519.421771651425,5.111,11.9783595514064,0.0378332614787077,3.848,NA,NA,1467
1,2011-08-19,580.618075438658,8.055,9.08937374386341,0.0273384742647417,4.372,NA,NA,2234
1,2011-09-01,753.522539831981,3.513,8.49682316127441,0.0256017367260792,3.688,NA,NA,2025
1,2011-09-15,654.40833882159,7.8,7.26946443272696,0.0244313304397201,3.269,NA,NA,1343
1,2011-09-29,544.738526659543,1.589,7.91844624875556,0.0274782088783623,3.445,NA,NA,1390
1,2011-10-13,480.930393648487,5.265,6.66158117488466,0.0237565126630273,3.175,NA,NA,1033
1,2011-11-24,304.129942667345,3.7606,4.70303744583017,0.0375154125941885,2.14455,NA,NA,434
1,2011-12-15,319.046929581588,6.82,4.60710206400395,0.0394126142643585,1.5085,NA,NA,162
1,2012-01-19,501.002477534941,4.295,5.66298210232124,0.0419865592000391,1.5725,NA,NA,151
1,2012-02-09,342.984560627532,4.4613,3.5168794890243,0.033291251557628,0.891167,NA,NA,389
1,2012-03-22,321.135644098943,1.373,5.16235839677241,0.0352845981010139,2.888083,NA,NA,1610
1,2012-04-05,309.818799869552,4.3145,3.37272018024662,0.024197553045802,3.284706,NA,NA,573
1,2012-04-19,364.915789235662,2.587,8.29632328615441,0.0540981035005802,12.618841,NA,NA,1252
1,2012-05-10,374.954707520957,10.3057,5.88051528866808,0.0334995550227841,11.382167,NA,NA,929
1,2012-05-24,359.49463427745,1.359,7.49312844661513,0.0393814405033945,6.025,NA,NA,2225
